                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.097,                  2.106,                 1.2331,                0.48973,                0.72211,                0.52225,                0.36372,                 1.0489,                 2.1614,                 1.1555,              0.0002367,              0.0002367,              0.0002367
                      2,                 1.0504,                 1.3904,                 1.1811,                0.42727,                0.76261,                0.49532,                0.34192,                 1.0747,                 2.0789,                 1.1746,              0.0004653,              0.0004653,              0.0004653
                      3,                 1.0541,                 1.2328,                 1.1776,                0.46781,                0.69918,                0.49128,                0.33661,                 1.0857,                 1.5197,                 1.2056,             0.00068448,             0.00068448,             0.00068448
                      4,                 1.0579,                  1.131,                 1.1807,                0.46305,                0.76196,                0.46439,                0.32033,                 1.0656,                 1.6461,                 1.1996,             0.00067159,             0.00067159,             0.00067159
                      5,                 1.0275,                 1.0338,                  1.166,                0.46724,                 0.8006,                0.55759,                0.39712,                 1.0288,                 1.3722,                 1.1464,             0.00065745,             0.00065745,             0.00065745
                      6,                  1.024,                 0.9828,                 1.1608,                0.47119,                0.78807,                0.52092,                0.36661,                 1.0517,                 1.3071,                 1.1667,             0.00064331,             0.00064331,             0.00064331
                      7,                0.98684,                0.91633,                 1.1475,                0.48052,                0.76533,                0.55371,                0.40128,                 1.0164,                 1.3266,                 1.1432,             0.00062918,             0.00062918,             0.00062918
                      8,                 1.0088,                0.90689,                 1.1571,                0.49984,                0.75457,                 0.5892,                0.41461,                 1.0331,                 1.2727,                 1.1667,             0.00061504,             0.00061504,             0.00061504
                      9,                0.97399,                0.86154,                 1.1364,                0.47532,                0.80927,                0.56718,                0.40692,                 1.0094,                 1.2211,                 1.1385,              0.0006009,              0.0006009,              0.0006009
                     10,                0.97817,                0.84197,                 1.1389,                0.47938,                0.80015,                0.55676,                0.40126,                 1.0021,                 1.2511,                 1.1287,             0.00058677,             0.00058677,             0.00058677
                     11,                0.97552,                0.81428,                 1.1437,                0.46446,                0.77325,                0.52915,                0.38066,                  1.016,                 1.4213,                 1.1331,             0.00057263,             0.00057263,             0.00057263
                     12,                0.95505,                 0.7807,                 1.1331,                0.47864,                0.79961,                0.56776,                0.41133,                 1.0017,                 1.2327,                 1.1264,             0.00055849,             0.00055849,             0.00055849
                     13,                0.95944,                0.79008,                 1.1199,                0.46242,                0.82285,                0.54238,                0.39302,                0.98605,                 1.2926,                 1.1267,             0.00054435,             0.00054435,             0.00054435
                     14,                0.95707,                0.79471,                 1.1234,                0.47929,                0.80118,                0.56776,                0.41666,                  0.996,                 1.2048,                 1.1288,             0.00053022,             0.00053022,             0.00053022
                     15,                 0.9279,                0.74502,                 1.1119,                0.46787,                0.82123,                0.58361,                0.43035,                0.99017,                  1.241,                 1.1284,             0.00051608,             0.00051608,             0.00051608
